en-us,en-rUS,English(US)
az,az,Azerbaijani
de,de,German
el,el,Greek
es,es,Spanish
es-cl,es-rCL,Spanish(Chile)
fr,fr,French
gd,gd,Scottish-Gaelic
hi,hi,Hindi
hu,hu,Hungarian
id,id,Indonesian
it,it,Italian
ja,ja,Japanese
ko,ko,Korean
nb,nb,Norwegian
nl,nl,Dutch
pl,pl,Polish
ru,ru,Russian
sv,sv,Swedish
th,th,Thai
uz,uz,Uzbek
zh-cn,zh-rCN,Chinese(Simplified)
zh-tw,zh-rTW,Chinese(Traditional)
zh-tw,zh-rHK,Chinese(Traditional)
en-gb,en-rGB,GB-English
tr,tr,Turkish
eu,eu,Basque
he,he,Hebrew
pt-br,pt-rBR,Portuguese(Brazil)
ar,ar,Arabic
ro,ro,Romanian
mk,mk,Macedonian
en-au,en-rAU,English(Australian)
sr,sr,Serbian
sk,sk,Slovak
cy,cy,Welch
da,da,Danish
bg,bg,Bulgarian
sq,sq,Albanian
hr,hr,Croatian
cs,cs,Czech
en-ca,en-rCA,English(Canada)
